,name,address,latitude,longitude,HH_start,HH_end,confidence_index,beer_1,nHHprice_1,HHprice_1,volume_1,beer_2,nHHprice_2,HHprice_2,volume_2,beer_3,nHHprice_3,HHprice_3,volume_3,beer_4,nHHprice_4,HHprice_4,volume_4,beer_5,nHHprice_5,HHprice_5,volume_5,beer_6,nHHprice_6,HHprice_6,volume_6,beer_7,nHHprice_7,HHprice_7,volume_7,beer_8,nHHprice_8,HHprice_8,volume_8
1118,Cave Saint Germain,"17 Rue des Canettes, 75006 Paris-6E-Arrondissement, France",48.8519596,2.333751,17,20,5,Cheapest beer,5.0,3.0,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1119,Cba,"5 Rue Frédéric Petit, 80000 Amiens, France",49.8918394,2.2910015,0,0,2,Cheapest beer,5.5,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1120,Cdecale,"77 Rue la Condamine, 75017 Paris, France",48.8845177,2.3197073,16,20,1,Cheapest beer,7.0,5.0,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1121,Ceili Pub,"4 Rue Aristide Briand, 29000 Quimper, France",47.995939,-4.097159,0,0,0,Cheapest beer,5.0,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1122,Celtic Corner Pub,"88 Rue de la Croix Nivert, 75015 Paris, France",48.84384,2.2958801,15,19,4,Maes,6.9,5.5,50,Affligem,7.4,5.5,50.0,Edelweiss Blanche,7.4,5.5,50.0,Strongbow,7.4 ,5.5 ,50,,,,,,,,,,,,,,,,
1123,Celtic Pulperia,"Carrer de la Princesa, 50, 08003 Barcelona, Espagne",41.3866752,2.1823685,0,0,0,Cheapest beer,3.5,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1124,Celtica,"Rue du Marché aux Poulets 55, 1000 Bruxelles, Belgique",50.8484242,4.351238,12,23,6,Maes,4.0,2.0,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1127,Cent Kilos,"46 Rue des Morillons, 75015 Paris, France",48.8320383,2.3031904,0,0,0,Stella Artois,7.0,,50,Heineken,7.5,,50.0,Leffe Blonde,7.5,,50.0,Hoegaarden Wit-Blanche,7.5 ,,50,,,,,,,,,,,,,,,,
1128,Central Hostel,"2 Place Saint-Projet, 33000 Bordeaux, France",44.8384757,-0.5742701,1730,20,3,Cheapest beer,6.0,4.5,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1129,Central Park,"5 Rue du Jour, 75001 Paris, France",48.8634629,2.3440772,16,19,3,Cheapest beer,7.5,5.5,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1130,Central Pub,"15 Cours Georges Clemenceau, 33000 Bordeaux, France",44.8424296,-0.5798118,15,18,1,Cheapest beer,6.5,4.0,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1131,Central Square,"44 Rue Georges Braque, 76600 Le Havre, France",49.4952634,0.1025172,0,0,0,Cheapest beer,5.2,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1133,Cerveceria Canarias,"Plaça Reial, 4, 08002 Barcelona, Espagne",41.38009085,2.1750110822262756,0,0,1,Cheapest beer,4.5,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1134,Cerveceria Gorila,"Plaza Plateros, 10, 11403 Jerez de la Frontera, Cádiz, Espagne",36.6839112,-6.1385632,0,0,1,Cheapest beer,3.7,,50,La Chouffe,4.8,,50.0,Grimbergen Ambrée,5.0,,50.0,,,,,,,,,,,,,,,,,,,,
1136,Cervoiserie,"21 Rue de Chaumont, 86000 Poitiers, France",46.5572479,0.3058139,0,0,2,Cheapest beer,3.5,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1137,Cervoiserie,"53 Rue Théophraste Renaudot, 56000 Vannes, France",47.6612522,-2.7886227,0,0,1,Cheapest beer,3.5,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1138,Cha L Or,"31 Avenue de Saint-Mandé, 75012 Paris, France",48.8453257,2.4001898,14,19,2,Cheapest beer,4.301,4.3,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1139,Chacun Sa Bière,"66 Rue Carnot, 02400 Château-Thierry, France",49.04149,3.404348,0,0,2,Cheapest beer,6.0,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1140,Chai Antoine,4 Rue des Canettes,48.8524808,2.3336432,17,20,13,Cheapest beer,5.0,5.0,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1141,Chair De Poule,"141 Rue Saint-Maur, 75011 Paris, France",48.8676415,2.3754429,17,20,2,Cheapest beer,5.5,4.0,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1143,Chalet De L'Étape,"Chemin du Baptieux, 74170 Les Contamines-Montjoie, France",45.8132585,6.7226039,15,16,1,Cheapest beer,7.0,5.0,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1144,Cham'Bar,"10 Rue des Petites Écuries, 75010 Paris, France",48.8732036,2.3533495,0,0,2,Cheapest beer,4.5,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1145,Cham’s,"91 Boulevard Gabriel Péri, 92240 Malakoff, France",48.819484,2.2945244,16,20,0,Cheapest beer,4.8,3.1,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1146,Chandra,"11 Rue Biot, 75017 Paris, France",48.8843013,2.3260717,0,0,4,Cheapest beer,4.5,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1148,Chapi Chapo,"50 Rue Descartes, 75005 Paris, France",48.8452357,2.349036,0,0,3,Cheapest beer,,4.0,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1149,Charbon,"109 Rue Oberkampf, 75011 Paris, France",48.866723,2.3817382,1530,19,4,Cheapest beer,7.0,4.0,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1150,Charlie Et Sa Bière À Deux Balles,"52 Rue Saint-Sébastien, 75011 Paris, France",48.862227,2.3732857,16,19,3,la biere à deux balles,4.0,3.5,50,Floreffe Blonde,6.0,5.0,50.0,Vedett Extra White,6.0,5.0,50.0,ninkasi IPA,8 ,6 ,50,Black Licorne,8 ,6 ,50,,,,,,,,,,,,
1151,Charlie's Beer,"22 Rue Aristide Ollivier, 34000 Montpellier, France",43.6064935,3.8823898,17,20,4,Cheapest beer,4.5,3.5,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1152,Charlotte bar,"9 Rue de Lappe, 75011 Paris, France",48.8540169,2.3721601,15,21,0,Cheapest beer,7.0,5.0,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1153,Barawine,"25 Rue de Charonne, 75011 Paris, France",48.8533072,2.3751589,0,0,3,Cheapest beer,14.0,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1154,Chat Alors,"6 Rue Baudoin, 75013 Paris, France",48.8322943,2.3687187,15,19,1,Saint Omer,5.0,4.0,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1156,Cheers,"18 Rue du Pot de Fer, 75005 Paris-5E-Arrondissement, France",48.8429926,2.3485399,14,21,3,Cheapest beer,6.0,3.5,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1157,Chemin De Traverse,"2bis Rue Bon Secours, 44100 Nantes, France",47.2136358,-1.5536132,0,0,1,Cheapest beer,3.5,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1158,Chennels',"Wellington St, Barnsley S70, UK",53.5508958,-1.4813073,0,0,1,Cheapest beer,2.0,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1159,Chevalier Teutonic,"10 Passage Teutonique, 68100 Mulhouse, France",47.7463072,7.3376606,0,0,0,Cheapest beer,5.0,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1160,Cheverus Café,"42 Rue Cheverus, 33000 Bordeaux, France",44.8378059,-0.5755956,0,0,1,Cheapest beer,5.0,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1161,Chez Adel,"10 Rue de la Grange aux Belles, 75010 Paris, France",48.8735896,2.3649091,0,0,0,Cheapest beer,5.0,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1162,Chez Agnès,"21 Rue Delizy, 93500 Pantin, France",48.8972649,2.4079081,0,0,1,Cheapest beer,5.5,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1163,Chez Antonin,"4 Rue Jaucourt, 75012 Paris, France",48.8465474,2.3946487,16,19,0,Cheapest beer,6.0,4.5,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1164,Chez Auguste,"9 Place de la Petite Sirène, 17000 La Rochelle, France",46.15541155,-1.150276209457966,0,0,3,Cheapest beer,4.0,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1165,"Chez Bernard (2.5€ le Demi, 1.5€ le Ricard)","2 Place de la Cité, 87000 Limoges, France",45.8288369,1.2640878,0,0,0,Cheapest beer,4.0,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1166,Chez Bibi,"9 Rue Saint-Lazare, 75009 Paris, France",48.8762821,2.3320047,0,0,1,Cheapest beer,,4.5,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1167,Chez Bouboule,"1 Avenue Trudaine, 75009 Paris, France",48.881758,2.3463021,0,0,1,Jupiler,7.0,,50,Vedett Extra White,8.0,,50.0,vedett blonde,8.0,,50.0,goose ipa,8 ,,50,Brooklyn Lager,8 ,,50,,,,,,,,,,,,
1168,Chez Camille,"8 Rue Ravignan, 75018 Paris, France",48.8855141,2.3379729,17,19,2,Cheapest beer,5.8,5.0,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1169,Chez Claude,"166 Rue Saint Honoré, 75001 Paris, France",48.8622156,2.339466,16,21,3,Cheapest beer,7.5,5.5,50,La Chouffe,9.0,6.5,50.0,,,,,,,,,,,,,,,,,,,,,,,,
1170,Chez Clément,"123 Av. des Champs-Élysées, 75008 Paris, France",48.8724472,2.2981116,0,0,0,Cheapest beer,,5.0,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1171,Chez Colette,74 Rue Daguerre,48.8354694,2.3256588,0,0,0,Cheapest beer,8.0,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1172,Chez Ella,"85 Rue de la Convention, 75015 Paris, France",48.8421695,2.2857972,15,19,0,Cheapest beer,7.0,5.0,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1173,Chez Fanfan,"159 Quai de Valmy, 75010 Paris, France",48.8783377,2.3658181,0,0,2,Cheapest beer,4.5,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1174,Chez Fanfan,"208 Rue du Faubourg Saint-Martin, 75010 Paris, France",48.8796125,2.3635381,17,20,7,Cheapest beer,4.0,4.0,50,La Chouffe,6.5,5.5,50.0,Bar & Beer IPA,6.5,5.5,50.0,Licorne,4 ,,50,,,,,,,,,,,,,,,,
1175,Chez Felix,"1 Rue Vanneau, 34000 Montpellier, France",43.6080686,3.8803783,0,0,4,Cheapest beer,4.0,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1176,Chez Fonfon,"140 Rue du Vallon des Auffes, 13007 Marseille, France",43.2848316,5.3569684,0,0,0,Cheapest beer,7.0,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1177,Chez Gaston,"112 Boulevard Richard Lenoir, 75011 Paris, France",48.8643971,2.3711656,16,20,3,Cheapest beer,8.3,5.0,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1178,Chez Ginette,"101 Rue Caulaincourt, 75018 Paris, France",48.8897158,2.3387536,16,19,0,Pelforth,8.0,6.0,50,Affligem,9.0,6.0,50.0,,,,,,,,,,,,,,,,,,,,,,,,
1179,Chez Gudule,"58 Boulevard de Picpus, 75012 Paris, France",48.8440471,2.4022118,17,19,9,Saint Omer,5.8,4.0,50,Belzebuth Blanche,7.5,5.5,50.0,Affligem,7.0,5.5,50.0,Maredsous Triple,7 ,5.5 ,50,,,,,,,,,,,,,,,,
1180,Chez Gustave,"6 Place Gustave Toudouze, 75009 Paris, France",48.8797352,2.3373643,1630,1830,1,superbock,7.8,5.0,50,Carlsberg,8.0,8.0,50.0,Grimbergen Blonde,8.0,8.0,50.0,Grimbergen Blanche,8 ,8 ,50,Picon biere,9 ,9 ,50,,,,,,,,,,,,
1181,Chez Irène Et Bernard,"58 Rue Gauthey, 75017 Paris, France",48.8936207,2.3221308,17,19,6,Cheapest beer,5.5,5.0,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1182,Chez Julien,"2 Rue Lepic, 75018 Paris, France",48.8840601,2.3330768,17,20,1,Cheapest beer,6.0,4.5,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1183,Chez Julien,"43 Rue des Pyrénées, 64450 Thèze, France",43.4727792,-0.3445861,0,0,1,Cheapest beer,5.0,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1184,Chez Louis,"75003 Paris, France",48.8566969,2.3514616,0,0,1,Cheapest beer,,5.0,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1185,Chez Loutcha,"Mindelo, Cap-Vert",16.8874145,-24.9863842,0,0,0,strela,1.5,,25,superbock,1.5,,25.0,sagres,1.5,,25.0,,,,,,,,,,,,,,,,,,,,
1186,Chez Lui,"67 Rue Saint-Maur, 75011 Paris, France",48.8629414,2.3792637,0,0,0,Cheapest beer,6.5,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1187,Chez Lulu,"7 Place Saint-Aubin, 44350 Guérande, France",47.327835500000006,-2.4292642048556656,0,0,0,Cheapest beer,5.0,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1188,Chez Madame,"3 Square Paul Paray, 75017 Paris, France",48.889355,2.307918,0,0,2,Cheapest beer,6.0,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1189,Chez Maguy Et Serge,"93 Rue Duhesme, 75018 Paris, France",48.8947927,2.3445934,0,0,3,Cheapest beer,3.5,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1190,Chez Mamane,"27 Rue des cinq Diamants, 75013 Paris, France",48.828635,2.3506319,15,19,1,Cheapest beer,5.0,3.5,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1191,Chez Marcel Et Lilly,"Rue du Quai Bourgeois, 33000 Bordeaux, France",44.839932,-0.5692079,17,19,1,Cheapest beer,4.9,3.5,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1192,Chez Margot,"25 Boulevard Henri IV, 75004 Paris, France",48.8519128,2.3645106,0,0,0,Cheapest beer,,4.8,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1193,Chez Marie,"219 Rue Saint-Maur, 75010 Paris, France",48.8732312,2.3706064,17,20,7,Cheapest beer,5.0,3.0,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1194,Chez Marie,"5bis Avenue Morane Saulnier, 78140 Vélizy-Villacoublay, France",48.7845856,2.2223741,15,1930,0,Stella Artois,8.5,6.0,50,Hoegaarden Wit-Blanche,8.5,6.0,50.0,Leffe Blonde,8.5,6.0,50.0,Leffe Ruby,8.5 ,6 ,50,,,,,,,,,,,,,,,,
1195,Chez Marion,"17 Rue Cavenne, 69007 Lyon, France",45.7526782,4.8386582,0,0,0,Cheapest beer,6.0,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1196,Chez Max,"3 Quai de la Marine, 89000 Auxerre, France",47.7989849,3.5743356,0,0,0,Cheapest beer,5.7,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1197,Chez Mezig,"44 Quai de la Loire, 75019 Paris, France",48.8853275,2.3750206,0,0,0,Cheapest beer,5.6,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1198,Chez Michard,"8 Place Denis Dussoubs, 87000 Limoges, France",45.8331633,1.2559131,0,0,1,Cheapest beer,4.7,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1199,Chez Michel,"15 Rue de la Butte aux Cailles, 75013 Paris, France",48.8276717,2.3499548,1516,19,3,Cheapest beer,5.5,4.0,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1200,Chez Monsieur,"140 Rue de Saussure, 75017 Paris, France",48.889239,2.307732,18,20,0,Cheapest beer,5.0,2.8,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1201,Chez Mr Alphonse,"8 Rue de la Folie Méricourt, 75011 Paris, France",48.8616464,2.3745851,15,23,0,Cheapest beer,6.0,4.0,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1202,Chez Nous,"34 Rue du Révérend Père Christian Gilbert, 92600 Asnières-sur-Seine, France",48.9138684,2.2876517,0,0,1,Pelforth,6.0,,50,Cuvée des Trolls,8.0,,50.0,Maredsous Blonde,8.0,,50.0,Triple Karmeliet,8 ,,50,,,,,,,,,,,,,,,,
1204,Chez Nénesse,"23 Rue de la Butte aux Cailles, 75013 Paris, France",48.8276119,2.3495333,16,19,0,Cheapest beer,7.7,6.0,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1205,Chez Paco,"41 Avenue de Clichy, 75017 Paris, France",48.8865157,2.3258729,15,23,0,Cheapest beer,6.0,4.0,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1206,Chez Papa,101 Rue de la Croix Nivert,48.8426834,2.2949914,15,23,11,La Patron,5.0,3.0,50,Hoegaarden Wit-Blanche,7.5,5.0,50.0,Leffe Blonde,9.0,5.0,50.0,oldarki,8 ,5 ,50,,,,,,,,,,,,,,,,
1207,Chez Papa,"138 Boulevard du Montparnasse, 75014 Paris, France",48.8415344,2.3307428,0,0,11,Stella Artois,4.0,,50,Hoegaarden Wit-Blanche,4.5,,50.0,Leffe Blonde,4.5,,50.0,Triple Karmeliet,6.6 ,,50,Grimbergen Blonde,8 ,,100,,,,,,,,,,,,
1208,Chez Papa,"40 Boulevard de la Bastille, 75012 Paris, France",48.8506208,2.3689945,0,0,6,Cheapest beer,,4.0,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1209,Chez Papa,"59 Rue de Clichy, 75009 Paris, France",48.8813765,2.3285251,17,23,2,Cheapest beer,7.5,4.0,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1210,Chez Papa,"1 Rue Victor Hugo, 92700 Colombes, France",48.9237867,2.2602023,0,0,1,Heineken,5.0,,50,La Chouffe,7.0,,50.0,,,,,,,,,,,,,,,,,,,,,,,,
1211,Chez Papaz,"35 Place du Pré de Foire, 74220 La Clusaz, France",45.904479699999996,6.4225033455823795,0,0,0,Carlsberg,7.6,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1212,Chez Pepere,"19 Rue Georges Bonnac, 33000 Bordeaux, France",44.8405048,-0.5822201,16,1830,2,Cheapest beer,5.0,3.5,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1213,Chez Pierrot,"33 Rue de Lappe, 75011 Paris, France",48.853476,2.3732361,0,0,2,Cheapest beer,,3.5,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1214,Chez Pignol,1 Place Pierre Brossolette,43.3068869,5.3998814,19,21,0,Cheapest beer,7.0,4.0,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1215,Chez Prune,"36 Rue Beaurepaire, 75010 Paris, France",48.8716043,2.3645626,17,19,2,Cheapest beer,6.5,6.0,50,Licorne,6.5,,50.0,blanche ,9.5,,50.0,abbaye,8 ,,50,,,,,,,,,,,,,,,,
1216,Chez Renaud,"4 Boulevard Victor Hugo, 64500 Saint-Jean-de-Luz, France",43.3870081,-1.6628396,0,0,2,Cheapest beer,5.0,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1217,Chez Samir - Le Ventre De L'architecte,"4 Rue Burnouf, 75019 Paris, France",48.8759776,2.3741581,16,19,7,Cheapest beer,4.5,3.5,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1218,Chez Sophie Bar Et Caviste,"4 Rue Poirier de Narçay, 75014 Paris, France",48.8241377,2.3251352,0,0,0,Cheapest beer,5.0,,50,1664,,,50.0,Hoegaarden Wit-Blanche,,,50.0,Corona,,,50,Guinness,,,50,Grimbergen Rouge,,,50,Heineken,,,50,,,,
1219,Chez Ta Soeur,"128 Rue Oberkampf, 75011 Paris, France",48.866723,2.3817382,16,21,0,Cheapest beer,6.0,4.0,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1220,Chez Tonton,"16 Place Saint-Pierre, 31000 Toulouse, France",43.6038382,1.435186,18,20,6,Cheapest beer,5.2,2.6,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1221,Chez Tonton -Pastis Ô Maître,"Place Saint-Pierre, 31000 Toulouse, France",43.6033365,1.4362526,18,20,1,Cheapest beer,99.0,86.0,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1222,Chez Troquette,"1 Rue Saint-Maur, 75011 Paris, France",48.8586724,2.3834151,16,20,1,Cheapest beer,7.1,5.0,50,1664,7.1,,50.0,1664 Blanche,7.1,,50.0,Grimbergen Blonde,7.8 ,,50,Brooklyn Lager,7.8 ,,50,Grimbergen Rouge,4.9 ,,33,Duvel,4.9 ,,33,TBD,TBD,TBD,TBD
1223,Chez Vez (Le Saint Jacques),"Quai Saint-Jacques, 74700 Sallanches, France",45.9363041,6.6276394,0,0,0,Cheapest beer,5.7,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1224,Chez café Aldo,81 Boulevard de Strasbourg,48.8756002,2.357415,14,21,1,Cheapest beer,6.0,6.0,50,1664,8.4,6.0,50.0,Heineken,8.4,6.0,50.0,Stella Artois,8.4 ,6 ,50,,,,,,,,,,,,,,,,
1225,Chez dudulle à supprimer,Route de Lavacourt,49.0584596,1.6733482,17,19,1,Cheapest beer,4.0,3.5,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1226,Chez magnum,"16 Cours Paoli, 20250 Corte, France",42.3066873,9.1507683,0,0,1,Cheapest beer,4.5,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1227,Chi C'È C'È,"Via Cesario Console, 3, 80132 Napoli, Italy",40.833327,14.2517007,0,0,1,Cheapest beer,5.0,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1228,"Chic & Basic, Born","Carrer de la Princesa, 50, 08003 Barcelona, Espagne",41.3866752,2.1823685,0,0,0,Cheapest beer,4.0,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1229,Chicken Pont,"Pontstraße 134, 52062 Aachen, Deutschland",50.779819849999996,6.080556150884734,0,0,1,Cheapest beer,2.4,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1230,Chieftain,"198 5th St, San Francisco, CA 94103, USA",37.7814985,-122.4052119,0,0,1,Cheapest beer,4.5,,50,Guinness,,,50.0,Blue Moon,,,50.0,,,,,,,,,,,,,,,,,,,,
1231,Chili,"Place Saint-Géry 28, 1000 Bruxelles, Belgique",50.8478251,4.3476676,0,0,0,Cheapest beer,4.6,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1232,Chiquito,"26 Rue de Menilmontant, 75020 Paris, France",48.8675755,2.3854795,17,20,0,Cheapest beer,5.0,4.0,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1233,Chmielarnia,"Marszałkowska 10/16, Warszawa, Poland",52.2154531,21.0207946,0,0,0,Cheapest beer,2.8,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1234,Chop Bières Team,"16 Rue Darnétal, 77100 Meaux, France",48.9587332,2.879544,0,0,0,Cheapest beer,7.0,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1235,Ciarus Bar,"7 Rue Finkmatt, 67000 Strasbourg, France",48.5893576,7.7474616,0,0,0,Cheapest beer,5.9,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1236,Cinema Catalunya,"Carrer Major, 17534 Ribes de Freser, Girona, Espagne",42.3059799,2.1671087,0,0,0,Cheapest beer,2.55,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1237,Ciré Jaune,"112 Rue Saint-Maur, 75011 Paris, France",48.8669424,2.3763646,17,19,2,Cheapest beer,5.0,3.0,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1238,CitizenM Gare de Lyon,"8 Rue Van Gogh, 75012 Paris, France",48.843709,2.371817,0,0,0,Heineken,6.0,,50,Affligem,7.0,,50.0,,,,,,,,,,,,,,,,,,,,,,,,
1239,City Backpacker,"380 Upper Roma St, Brisbane City QLD 4000, Australia",-27.46679485,153.01338345907664,16,17,0,Cheapest beer,3.15,2.5,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1240,Claro Que Si,"29 Rue du Loup, 33000 Bordeaux, France",44.8380118,-0.5729164,17,20,2,Cheapest beer,6.0,4.0,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1242,Club 71,"67 Hollywood Rd, Central, Hong Kong",22.2820163,114.1538681,15,20,0,Cheapest beer,5.5,4.0,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1243,Club Dinette,"27 Rue Tour Carrée, 50100 Cherbourg-Octeville, France",49.6415058,-1.6237664,0,0,2,Cheapest beer,4.6,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1245,Cluricaume Café,"24 Place Charles de Gaulle, 86000 Poitiers, France",46.5835339,0.345286,0,0,1,Cheapest beer,5.5,,50,Barbar Bok,5.5,,33.0,,,,,,,,,,,,,,,,,,,,,,,,
1246,Co,"15 Rue Esclangon, 75018 Paris, France",48.8966278,2.3429355,15,19,3,Cheapest beer,5.0,3.5,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1247,Cochon Rouge,"1 Rue de la Sabretache, 78150 Rocquencourt, France",48.8374989,2.1071206,0,0,1,Cheapest beer,6.0,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1248,Cock And Bull,"23 Rue Duffour Dubergier, 33000 Bordeaux, France",44.8363842,-0.5758756,15,19,1,Peroni,6.0,4.0,50,St Stefanus,7.0,4.5,50.0,,,,,,,,,,,,,,,,,,,,,,,,
1250,Cocoon Bar,"53 Route de Nantes, 85300 Challans, France",46.8605895,-1.8649236,0,0,1,Cheapest beer,5.0,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1251,Collins Martis,"7 Avenue de la Foire aux Vins, 68000 Colmar, France",48.0978288,7.3556143,0,0,0,Cheapest beer,5.5,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1252,Colmadito,"Carrer de Ramon Llull, 7, 46021 Valencia, España",39.4766069,-0.3468797,0,0,0,Cheapest beer,2.5,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1254,Comiq's Bar,"7 Rue Chabanais, 75002 Paris, France",48.8674183,2.3368165,17,21,1,Cheapest beer,7.0,5.0,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1255,Commercial Room,"43 Corn St, Bristol BS1 1HT, UK",51.45461745,-2.5945768057280523,0,0,1,Cheapest beer,2.5,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1256,Commonwealth,"2882 Telegraph Ave, Oakland, CA 94609, USA",37.8180313,-122.2672587,0,0,2,Cheapest beer,6.0,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1257,Commune Image,"8 Rue Godillot, 93400 Saint-Ouen, France",48.9089463,2.3403853,0,0,0,Cheapest beer,4.5,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1258,Comptoir De L'Arc,"Place de la Canourgue, 34000 Montpellier, France",43.6118052,3.8744286924872466,0,0,7,Heineken,4.5,3.5,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1259,Comptoir Du Marais,"24 Rue de Rivoli, 75004 Paris, France",48.8559788,2.3584021,1530,1930,0,Mell's Brau,6.5,4.0,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
