;initial_search;ville;type;name;summary;image_src;wiki_link
48; Théâtre National;strasbourg;monument;Théâtre national de Strasbourg;Le théâtre national de Strasbourg (TNS) a été créé en octobre 1968 à Strasbourg, sous l'impulsion d'Hubert Gignoux et André Malraux. Succédant au centre dramatique de l'Est, il est le seul théâtre national à se situer en dehors de Paris. Il abrite en son sein l’École supérieure d'art dramatique. Il est situé 1, avenue de la Marseillaise. Le TNS occupe la partie avant de l’ancien Palais de la diète d'Alsace-Lorraine dont la façade donne sur la place de la République. Comme les cinq autres théâtres nationaux, il a le statut juridique d'un établissement public à caractère industriel et commercial.;http://upload.wikimedia.org/wikipedia/fr/thumb/a/a3/Logo_TNS.jpg/220px-Logo_TNS.jpg;https://fr.wikipedia.org/wiki/Th%C3%A9%C3%A2tre_national_de_Strasbourg
49; Barrage Vauban;strasbourg;monument;Barrage Vauban;Le barrage Vauban, aussi appelé « Grande Écluse de fortification », est un pont-écluse classé monument historique situé à Strasbourg.;http://upload.wikimedia.org/wikipedia/commons/thumb/c/c2/Strasbourg_Barrage_Vauban_apr%C3%A8s_restauration_2012-01.jpg/280px-Strasbourg_Barrage_Vauban_apr%C3%A8s_restauration_2012-01.jpg;https://fr.wikipedia.org/wiki/Barrage_Vauban
50; Maison Kammezel;strasbourg;lieu;Maison Kammerzell;La maison Kammerzell /kʰa.məʁ.tse:l/ - aussi appelée s'Kammerzellhüs en dialecte strasbourgeois – est un monument historique de la ville de Strasbourg, archétype de la maison alsacienne à colombage du XVIe siècle, située au n° 16 de la place de la Cathédrale.;https://upload.wikimedia.org/wikipedia/commons/thumb/0/0f/2011-08-27_Frankreich_Elsass_Strassburg_Haus_Kammerzell_%285a%29.JPG/800px-2011-08-27_Frankreich_Elsass_Strassburg_Haus_Kammerzell_%285a%29.JPG;https://fr.wikipedia.org/wiki/Maison_Kammerzell
51; Quartier de la Petite France;strasbourg;lieu;Petite France (Strasbourg);La Petite France est un quartier pittoresque du centre historique de Strasbourg. Situé sur la Grande Île, il est classé au patrimoine mondial de l'UNESCO depuis 1988.;http://upload.wikimedia.org/wikipedia/commons/thumb/d/df/Strasbourg_%283187697047%29.jpg/280px-Strasbourg_%283187697047%29.jpg;https://fr.wikipedia.org/wiki/Petite_France_(Strasbourg)
52; Ponts couverts;strasbourg;lieu;Ponts couverts (Strasbourg);Les ponts couverts de Strasbourg sont trois ponts enjambant l'Ill au cœur de la Petite France.;http://upload.wikimedia.org/wikipedia/commons/thumb/c/cb/Panorama_de_Strasbourg_-_2014-02-02-_P1760343_-_P1760348.jpg/280px-Panorama_de_Strasbourg_-_2014-02-02-_P1760343_-_P1760348.jpg;https://fr.wikipedia.org/wiki/Ponts_couverts_(Strasbourg)
53; Place Broglie;strasbourg;lieu;Place Broglie;La place Broglie est une place située dans le centre historique de Strasbourg.;http://upload.wikimedia.org/wikipedia/commons/thumb/2/2d/Place_broglie.JPG/280px-Place_broglie.JPG;https://fr.wikipedia.org/wiki/Place_Broglie
54; Parc de l’Orangerie;strasbourg;lieu;Parc de l'Orangerie;Le parc de l'Orangerie est un parc public de la ville de Strasbourg. Il est situé en face du Palais de l’Europe et proche des autres institutions européennes dans le quartier dit de l'Orangerie, au sein de la Neustadt. Sa superficie est de 26 hectares.;http://upload.wikimedia.org/wikipedia/commons/thumb/2/28/Absolute_Pavillon_Jos%C3%A9phine_01.jpg/280px-Absolute_Pavillon_Jos%C3%A9phine_01.jpg;https://fr.wikipedia.org/wiki/Parc_de_l%27Orangerie
55; Parlement Européen;strasbourg;lieu;Parlement européen;Le Parlement européen (PE) est l'organe parlementaire de l'Union européenne (UE) élu au suffrage universel direct. Il partage avec le Conseil de l'Union européenne le pouvoir législatif de l'Union européenne.;http://upload.wikimedia.org/wikipedia/commons/thumb/2/2c/European_Parliament_Strasbourg_Hemicycle_-_Diliff.jpg/250px-European_Parliament_Strasbourg_Hemicycle_-_Diliff.jpg;https://fr.wikipedia.org/wiki/Parlement_europ%C3%A9en
56; Château du Haut Koeingsbourg;strasbourg;lieu;Château du Haut-Kœnigsbourg;Le château du Haut-Kœnigsbourg est un château fort alsacien du XIIe siècle, profondément remanié au XVe siècle et restauré avant la Première Guerre mondiale sous Guillaume II;https://upload.wikimedia.org/wikipedia/commons/thumb/1/11/Chateau_Haut_Koenigsbourg.JPG/420px-Chateau_Haut_Koenigsbourg.JPG;https://fr.wikipedia.org/wiki/Ch%C3%A2teau_du_Haut-K%C5%93nigsbourg
57; Place Kléber;strasbourg;lieu;Place Kléber;La place Kléber est la principale place publique du centre-ville de Strasbourg.;http://upload.wikimedia.org/wikipedia/commons/thumb/e/ef/Place_Kl%C3%A9ber_on_a_rainy_day.jpg/300px-Place_Kl%C3%A9ber_on_a_rainy_day.jpg;https://fr.wikipedia.org/wiki/Place_Kl%C3%A9ber
58; Musée Archéologique;strasbourg;museum;Musée archéologique de Strasbourg;Le musée archéologique de la ville de Strasbourg est l'un des plus importants musées d’archéologie de France dans le domaine des « Antiquités nationales » après le musée d'archéologie nationale de Saint-Germain-en-Laye, près de Paris. Il est installé dans les vastes sous-sols du palais Rohan et présente plusieurs millénaires de l’histoire antique de l’Alsace et de ses habitants, depuis les origines lointaines du Paléolithique (600 000 ans av. J.-C.) jusqu'aux débuts du Moyen Âge (800 apr. J.-C.). Un parcours de 1 200 m2 s’organise autour de quatre grandes sections chronologiques : Préhistoire, Protohistoire, époque gallo-romaine, époque mérovingienne.;http://upload.wikimedia.org/wikipedia/commons/thumb/f/fc/Cour_int%C3%A9rieure_Palais_des_Rohan_Strasbourg.jpg/260px-Cour_int%C3%A9rieure_Palais_des_Rohan_Strasbourg.jpg;https://fr.wikipedia.org/wiki/Mus%C3%A9e_arch%C3%A9ologique_de_Strasbourg
59; Musée des Beaux-Arts;strasbourg;museum;Musée des Beaux-Arts de Strasbourg;Le musée des Beaux-Arts de Strasbourg se trouve dans le palais des Rohan situé à côté de la cathédrale.;http://upload.wikimedia.org/wikipedia/commons/thumb/8/88/Le_Palais_des_Rohans.jpg/260px-Le_Palais_des_Rohans.jpg;https://fr.wikipedia.org/wiki/Mus%C3%A9e_des_Beaux-Arts_de_Strasbourg
60; Musée des arts décoratifs;strasbourg;museum;Musée des arts décoratifs de Strasbourg;Le musée des arts décoratifs de Strasbourg est installé au rez-de-chaussée de l’ancienne résidence des princes-évêques de la métropole alsacienne, le palais des Rohan.;http://upload.wikimedia.org/wikipedia/commons/thumb/3/33/Paul_Hannong_Strassburg.jpg/260px-Paul_Hannong_Strassburg.jpg;https://fr.wikipedia.org/wiki/Mus%C3%A9e_des_arts_d%C3%A9coratifs_de_Strasbourg
61; Musée d’art moderne et contemporain(MAMCS);strasbourg;museum;Musée d'Art moderne et contemporain de Strasbourg;Le musée d'Art moderne et contemporain de Strasbourg (MAMCS) a été inauguré par Catherine Trautmann, alors ministre de la Culture et ancien maire de Strasbourg, en décembre 1998. Il est construit, par l'architecte Adrien Fainsilber, sur la rive gauche de l'Ill, face au siège du conseil général du Bas-Rhin et à proximité du barrage Vauban et du quartier pittoresque de la Petite France. La place Jean-Arp, sur laquelle s'ouvre le musée, accueille également sur sa partie nord l'École nationale d'administration, installée dans l'ancienne prison Sainte-Marguerite.;http://upload.wikimedia.org/wikipedia/fr/thumb/d/d2/Mamcs-c%C3%B4t%C3%A9PetiteFrance.jpg/260px-Mamcs-c%C3%B4t%C3%A9PetiteFrance.jpg;https://fr.wikipedia.org/wiki/Mus%C3%A9e_d%27Art_moderne_et_contemporain_de_Strasbourg
62; Maison historique de Strasbourg;strasbourg;museum;Strasbourg;Strasbourg (prononcé /stʁas.buʁ/ ) est une commune française située dans le département du Bas-Rhin. Préfecture du département, elle est également, depuis le 1er janvier 2016, le chef-lieu de la région Grand Est. Capitale de la région historique d'Alsace, la ville est bordée par le Rhin et frontalière avec l'Allemagne.;http://upload.wikimedia.org/wikipedia/commons/thumb/f/f2/Place_kleber-MJ.jpg/278px-Place_kleber-MJ.jpg;https://fr.wikipedia.org/wiki/Strasbourg
63; Musée Zoologique;strasbourg;museum;Musée zoologique de la ville de Strasbourg;Le musée zoologique de la ville de Strasbourg présente des collections de zoologie appartenant à la ville de Strasbourg et gérées par l'université de Strasbourg. Il est situé boulevard de la Victoire à proximité du campus historique.;http://upload.wikimedia.org/wikipedia/commons/thumb/7/7a/Mus%C3%A9e_zoologique_de_Strasbourg.JPG/260px-Mus%C3%A9e_zoologique_de_Strasbourg.JPG;https://fr.wikipedia.org/wiki/Mus%C3%A9e_zoologique_de_la_ville_de_Strasbourg
64; Musée Alsacien;strasbourg;museum;Musée alsacien;Le Musée alsacien de la ville de Strasbourg est un musée d’arts et traditions populaires, présentant les témoignages de la vie alsacienne traditionnelle du XVIIe au XXe siècle : habitat, mobilier, objets du quotidien, céramiques, costumes, objets religieux, jouets, artisanat. Ils sont présentés pour la plupart dans des reconstitutions d’intérieurs et d’ateliers d’artisans. Le Musée alsacien est notamment dépositaire depuis l’origine d’une importante collection confiée par la Société d'histoire des Israélites d'Alsace et de Lorraine permettant de présenter, en association aux collections dont le musée est propriétaire, le patrimoine culturel des Juifs d’Alsace.;http://upload.wikimedia.org/wikipedia/commons/thumb/3/36/Strasbourg_23_et_24_quai_saint_Nicolas_Mus%C3%A9e_alsacien.jpg/260px-Strasbourg_23_et_24_quai_saint_Nicolas_Mus%C3%A9e_alsacien.jpg;https://fr.wikipedia.org/wiki/Mus%C3%A9e_alsacien
65; Le baeckeoffe;strasbourg;food;Baeckeoffe;Le baeckeoffe [bèke-ofe] (Bas-Rhin et Moselle germanophone) ou Baeckaoffa (Haut-Rhin) (Bäckerofen, littéralement four à pain en allemand), est un plat traditionnel emblématique de la cuisine alsacienne, à base de pommes de terre, de légumes, et d'assortiment de viandes d'agneau, de bœuf et de porc, mariné, puis mijoté à l'étouffée sur plus de 24 heures dans une terrine, avec des épices, et du vin blanc du vignoble d'Alsace.;http://upload.wikimedia.org/wikipedia/commons/thumb/d/d8/Baeckeoffe_01.JPG/280px-Baeckeoffe_01.JPG;https://fr.wikipedia.org/wiki/Baeckeoffe
66; Le Flammekueche;strasbourg;food;Tarte flambée;La tarte flambée ou Flammekueche est une recette traditionnelle des cuisine alsacienne, cuisine lorraine de la Moselle germanophone, et de la cuisine allemande des régions adjacentes du Pays de Bade, du Palatinat.;http://upload.wikimedia.org/wikipedia/commons/thumb/3/3a/Tarte_flamb%C3%A9e_03.jpg/280px-Tarte_flamb%C3%A9e_03.jpg;https://fr.wikipedia.org/wiki/Tarte_flamb%C3%A9e
67; La choucroute;strasbourg;food;Choucroute d'Alsace;La choucroute d’Alsace est une préparation alimentaire traditionnelle de choucroute de la cuisine alsacienne et de la cuisine française, obtenue par fermentation naturelle de variétés sélectionnées de chou cabus.;http://upload.wikimedia.org/wikipedia/commons/thumb/6/6f/Choucroute_d%27Alsace_004.jpg/280px-Choucroute_d%27Alsace_004.jpg;https://fr.wikipedia.org/wiki/Choucroute_d%27Alsace
68; Le Bretzel;strasbourg;food;Bretzel;Un ou une, bretzel est une pâtisserie salée traditionnelle typique de l'Alsace et de la Bavière qui se disputent l'appartenance, à base de pâte de brioche, pochée dans une solution alcaline, en forme de nœud ou de bras entrelacés, et recouvert d'éclats de gros sel.;http://upload.wikimedia.org/wikipedia/commons/thumb/3/30/BrezelnSalz02_%28cropped%29.JPG/280px-BrezelnSalz02_%28cropped%29.JPG;https://fr.wikipedia.org/wiki/Bretzel
69; Les Spatzles;strasbourg;food;Maison des Tanneurs (Strasbourg);La Maison des Tanneurs de Strasbourg est une maison à colombages alsacienne traditionnelle, historique, et pittoresque, de style Renaissance strasbourgeoise du XVIe siècle, du quartier de la Petite France de la Grande Île de Strasbourg, dans le centre historique de Strasbourg, dans le Bas-Rhin en Alsace dans le Grand Est. Actuel restaurant Winstub institutionnel alsacien, parmi les monuments touristiques les plus célèbres de Strasbourg, elle est classée aux monuments historiques depuis le 7 mars 1927.;http://upload.wikimedia.org/wikipedia/commons/thumb/6/60/Miroir_parfait.JPG/280px-Miroir_parfait.JPG;https://fr.wikipedia.org/wiki/Maison_des_Tanneurs_(Strasbourg)
70; La Mannala;strasbourg;food;Alsace;"L’Alsace (prononciation : /al.zas/ ; en allemand : Elsass, en alsacien : ’s Elsàss) est une région culturelle et historique de l’est de la France à la frontière avec l'Allemagne et la Suisse. Ses habitants sont appelés les Alsaciens.";http://upload.wikimedia.org/wikipedia/commons/thumb/e/e8/FranceWater.JPG/200px-FranceWater.JPG;https://fr.wikipedia.org/wiki/Alsace
71; Le Kougelhopf;strasbourg;food;Kougelhopf;Le kougelhopf, de son nom originel alsacien, ou encore kouglof, kougelhof, kugelhof, kugelopf,  kugelhopf ou kouglouf (en alsacien (Haut-Rhin) Kugelhupf, en allemand Gugelhupf, en francique lorrain Fùrmekùùche, en tchèque Bábovka) est une spécialité alsacienne, de l'Autriche, de la Tchéquie et du sud de l'Allemagne. ;http://upload.wikimedia.org/wikipedia/commons/thumb/4/4b/Moules_%C3%A0_kouglof_anciens.JPG/220px-Moules_%C3%A0_kouglof_anciens.JPG;https://fr.wikipedia.org/wiki/Kougelhopf
72; Le Pain d’Epice;strasbourg;food;Pain d'épices;Le pain d'épices (ou pain d'épice) est un gâteau au miel, agrémenté d'épices diverses comme la cannelle, la coriandre, le gingembre ou l'anis étoilé (badiane).;http://upload.wikimedia.org/wikipedia/commons/thumb/8/88/Pain_depices_p1050128.jpg/280px-Pain_depices_p1050128.jpg;https://fr.wikipedia.org/wiki/Pain_d%27%C3%A9pices
73; La tarte flambée;strasbourg;food;Tarte flambée;La tarte flambée ou Flammekueche est une recette traditionnelle des cuisine alsacienne, cuisine lorraine de la Moselle germanophone, et de la cuisine allemande des régions adjacentes du Pays de Bade, du Palatinat.;http://upload.wikimedia.org/wikipedia/commons/thumb/3/3a/Tarte_flamb%C3%A9e_03.jpg/280px-Tarte_flamb%C3%A9e_03.jpg;https://fr.wikipedia.org/wiki/Tarte_flamb%C3%A9e
74; Les vins d’Alsace;strasbourg;food;Gewurztraminer d'Alsace;Le gewurztraminer d'Alsace, ou alsace gewurztraminer, est un vin blanc français produit dans le vignoble d'Alsace à partir du cépage gewurztraminer Rs.;http://upload.wikimedia.org/wikipedia/commons/thumb/b/b1/Gewurztraminer_-_vendage_tardive.jpg/280px-Gewurztraminer_-_vendage_tardive.jpg;https://fr.wikipedia.org/wiki/Gewurztraminer_d%27Alsace
75; Basilique Notre Dame de la Garde;marseille;monument;Basilique Notre-Dame-de-la-Garde;Notre-Dame-de-la-Garde (en provençal, Nouestro-Damo de la Gardo), souvent surnommée « la Bonne Mère » (la Boueno Maire en provençal), est une basilique mineure du XIXe siècle de l'Église catholique. Emblème de Marseille, dédiée à Notre-Dame de la Garde (protectrice de Marseille avec Saint Victor), elle domine la ville et la mer Méditerranée depuis le sommet de la colline Notre-Dame-de-la-Garde (site classé depuis 1917).;http://upload.wikimedia.org/wikipedia/commons/thumb/4/40/Notre_Dame_de_la_Garde.jpg/280px-Notre_Dame_de_la_Garde.jpg;https://fr.wikipedia.org/wiki/Basilique_Notre-Dame-de-la-Garde
76; L’Hôtel de Ville;marseille;monument;Hôtel de ville de Marseille;L'hôtel de ville de Marseille, situé quai du port dans le 2e arrondissement de Marseille, est un immeuble du XVIIe siècle qui abrite le bureau du maire de Marseille.;http://upload.wikimedia.org/wikipedia/commons/thumb/e/eb/Marseille-H%C3%B4tel_de_ville-bjs180810-02.jpg/260px-Marseille-H%C3%B4tel_de_ville-bjs180810-02.jpg;https://fr.wikipedia.org/wiki/H%C3%B4tel_de_ville_de_Marseille
77; Château d’If;marseille;monument;Château d'If;Le château d'If est une forteresse française édifiée sur les ordres du roi François Ier, entre 1527 et 1529 sur l'îlot d'If de l'archipel du Frioul, proche des îles de Ratonneau et Pomègues au centre de la rade de Marseille.;http://upload.wikimedia.org/wikipedia/commons/thumb/0/01/Monte-Cristo_if_castle_-_marseille_France_by_JM_Rosier.JPG/280px-Monte-Cristo_if_castle_-_marseille_France_by_JM_Rosier.JPG;https://fr.wikipedia.org/wiki/Ch%C3%A2teau_d%27If
78; Cathédrale la Major;marseille;monument;Cathédrale Sainte-Marie-Majeure de Marseille;La cathédrale de la Major ou cathédrale Sainte-Marie-Majeure est la cathédrale catholique de l'archidiocèse de Marseille.;http://upload.wikimedia.org/wikipedia/commons/thumb/0/0e/Marseille.Cath%C3%A9drale_Sainte-Marie-Majeure%2C_dite_Nouvelle_Major%281%29.jpg/280px-Marseille.Cath%C3%A9drale_Sainte-Marie-Majeure%2C_dite_Nouvelle_Major%281%29.jpg;https://fr.wikipedia.org/wiki/Cath%C3%A9drale_Sainte-Marie-Majeure_de_Marseille
79; Palais Longchamp;marseille;monument;Palais Longchamp;Le palais Longchamp est un palais-château d'eau de style néo-classique-Second Empire du XIXe siècle, du quartier Cinq-Avenues du 4e arrondissement de Marseille, dans les Bouches-du-Rhône en Provence-Alpes-Côte d'Azur. Le site est inscrit aux monuments historiques depuis le 1er octobre 1974, et classé depuis le 18 novembre 1997 et 8 septembre 1999.;http://upload.wikimedia.org/wikipedia/commons/thumb/4/42/Palais_Longchamp_%28Marseille%29.jpg/260px-Palais_Longchamp_%28Marseille%29.jpg;https://fr.wikipedia.org/wiki/Palais_Longchamp
80; Arc de Triomphe;marseille;monument;Place Jules-Guesde;La place Jules-Guesde est une place des 1er, 2e et 3e arrondissement de Marseille construite à l'emplacement de la porte, dans les anciens remparts de la ville, ouvrant sur le chemin d'Aix-en-Provence. Elle est, de ce fait, appelée couramment porte d'Aix. Au centre de la place se dresse un arc de triomphe.;http://upload.wikimedia.org/wikipedia/commons/thumb/3/3e/Porte_d%27Aix_%C3%A0_Marseille.jpg/280px-Porte_d%27Aix_%C3%A0_Marseille.jpg;https://fr.wikipedia.org/wiki/Place_Jules-Guesde
81; Abbaye Saint;marseille;monument;Abbaye Saint-Victor de Marseille;L’abbaye Saint-Victor de Marseille a été fondée au Ve siècle par Jean Cassien, à proximité des tombes de martyrs de Marseille, parmi lesquels saint Victor de Marseille († en 303 ou 304), qui lui donna son nom. L'abbaye prit une importance considérable au tournant du premier millénaire par son rayonnement dans toute la Provence. L'un de ses abbés, Guillaume de Grimoard, fut élu pape en 1362 sous le nom d'Urbain V. À partir du XVe siècle, l'abbaye entama un déclin irrémédiable.;http://upload.wikimedia.org/wikipedia/commons/thumb/3/39/Abbaye_Saint-Victor_%28Marseille%29.jpg/280px-Abbaye_Saint-Victor_%28Marseille%29.jpg;https://fr.wikipedia.org/wiki/Abbaye_Saint-Victor_de_Marseille
82; La Vieille Charité-Victor;marseille;monument;Vieille Charité;La Vieille charité, située 2, rue de la Charité, au cœur du quartier du Panier dans le 2e arrondissement de Marseille, dans le quartier officiel des Grands-Carmes, est un bâtiment édifié au XVIIe siècle, sur les plans de Pierre Puget pour abriter les indigents et les pauvres de la ville.;https://upload.wikimedia.org/wikipedia/commons/thumb/b/bb/L%27hospice_de_La_Vieille_Charit%C3%A9_qui_abrite_le_Mus%C3%A9e_de_la_Vieille_Charit%C3%A9.jpg/1024px-L%27hospice_de_La_Vieille_Charit%C3%A9_qui_abrite_le_Mus%C3%A9e_de_la_Vieille_Charit%C3%A9.jpg;https://fr.wikipedia.org/wiki/Vieille_Charit%C3%A9
83; L’Opéra de Marseille;marseille;monument;Marseille;Marseille (localement en occitan provençal : Marselha) est une commune du Sud-Est de la France, chef-lieu du département des Bouches-du-Rhône et de la région Provence-Alpes-Côte d'Azur.;http://upload.wikimedia.org/wikipedia/commons/thumb/0/09/MarseillePaysage.jpg/280px-MarseillePaysage.jpg;https://fr.wikipedia.org/wiki/Marseille
84; Fort Saint Jean;marseille;monument;Fort Saint-Jean (Marseille);Le fort Saint-Jean doit son nom à la commanderie des Hospitaliers de Saint-Jean de Jérusalem établie sur cet éperon, prolongement de la butte Saint-Laurent, vers la fin du XIIe siècle. Il est situé dans le quartier de l'Hôtel de ville, dans le 2e arrondissement. À cet emplacement, des vestiges de la toute première occupation grecque au VIe siècle av. J.-C. ont été découverts.;http://upload.wikimedia.org/wikipedia/commons/thumb/3/35/Fort-Jean_%C3%A0_Marseille_3.jpg/260px-Fort-Jean_%C3%A0_Marseille_3.jpg;https://fr.wikipedia.org/wiki/Fort_Saint-Jean_(Marseille)
85; Canebière;marseille;lieu;Canebière;La Canebière, anciennement Cannebis puis Cannebière (en occitan provençal : la Canebiera en norme classique ou la Canebiero en norme mistralienne) est une avenue du centre de Marseille mesurant 1 km, qui va de l'église des Réformés au Vieux Port et englobe, depuis 1927, la rue Noailles et les allées de Meilhan.;http://upload.wikimedia.org/wikipedia/commons/thumb/3/3f/Marseille_Canebi%C3%A8re_and_Palais_de_la_Bourse.jpg/280px-Marseille_Canebi%C3%A8re_and_Palais_de_la_Bourse.jpg;https://fr.wikipedia.org/wiki/Canebi%C3%A8re
86; Vieux-Port;marseille;lieu;Vieux-Port de Marseille;Le Vieux-Port de Marseille (en provençal lo Pòrt Vielh selon la norme classique, lou Port-Vièi selon la norme mistralienne,,) est le plus ancien port de Marseille, ainsi que le centre historique et culturel de la ville depuis sa fondation sur ce site durant l'Antiquité. Le port était le centre économique de Marseille jusqu'au milieu du XIXe siècle, ouvert sur le commerce de la Mer Méditerranée puis des colonies françaises. Les activités portuaires de commerce furent ensuite déplacées vers d'autres sites plus au nord : les bassins de l'actuel Grand port maritime de Marseille.;http://upload.wikimedia.org/wikipedia/commons/thumb/7/74/Marseille_Old_Port.jpg/260px-Marseille_Old_Port.jpg;https://fr.wikipedia.org/wiki/Vieux-Port_de_Marseille
87; Le Panier;marseille;lieu;Le Panier;Le Panier désigne un quartier de Marseille situé dans le 2e arrondissement, partagé entre trois quartiers administratifs : Hôtel-de-Ville, Les Grands-Carmes et La Joliette. ;http://upload.wikimedia.org/wikipedia/commons/thumb/c/c8/Rue_Panier_Marseille.jpg/280px-Rue_Panier_Marseille.jpg;https://fr.wikipedia.org/wiki/Le_Panier
88; Les Calanques;marseille;lieu;Calanques;Les Calanques, connues aussi sous l'appellation calanques de Marseille, sont constituées d'une succession d'anses et de criques s'étendant sur plus de vingt kilomètres de côtes sur la mer Méditerranée entre les quartiers marseillais de la Madrague de Montredon et des Goudes d'une part, et entre le cap Croisette et la ville de Cassis d'autre part. Elles sont réparties sur le littoral des massifs de Marseilleveyre et du Puget. Par commodité de langage, cet ensemble montagneux est aussi appelé massif des Calanques. C'est l'un des sites naturels les plus remarquables de France et une zone majeure de ressourcement pour le 1,5 à 2 millions de visiteurs par an à terre et en mer. ;http://upload.wikimedia.org/wikipedia/commons/thumb/8/8b/Carte_calanques_marseille.jpg/280px-Carte_calanques_marseille.jpg;https://fr.wikipedia.org/wiki/Calanques
89; Les Plages du Prado;marseille;lieu;Plages du Prado;Les plages du Prado sont un aménagement artificiel du littoral créé à la fin des années 1970 par Gaston Defferre à Marseille. Les plages ont été construites sur 20 hectares pris sur la mer, à l'aide des remblais issus de la construction des deux lignes de métro marseillaises. Leur construction est due en partie au fait qu'avant cela, les jours de mistral, les vagues de la mer venaient mourir au bord de la chaussée, arrosant copieusement passants et véhicules. ;http://upload.wikimedia.org/wikipedia/commons/thumb/9/9c/Mistral_gagnant_Plages_du_Prado%2C_Marseille.jpg/280px-Mistral_gagnant_Plages_du_Prado%2C_Marseille.jpg;https://fr.wikipedia.org/wiki/Plages_du_Prado
90; Le Parc Borelly;marseille;lieu;Parc Borély;Le parc Borély est un des parcs et jardins publics de Marseille, du quartier de Bonneveine dans le 8e arrondissement de Marseille. Historiquement associé au château Borély et hippodrome-golf Marseille Borély, à proximité des plages du Prado, au bout de la corniche du Président-John-Fitzgerald-Kennedy, il est labellisé « jardin remarquable ».;http://upload.wikimedia.org/wikipedia/commons/thumb/b/bb/Marseille-Ch%C3%A2teau_Bor%C3%A9ly%282%29.jpg/280px-Marseille-Ch%C3%A2teau_Bor%C3%A9ly%282%29.jpg;https://fr.wikipedia.org/wiki/Parc_Bor%C3%A9ly
91; Le Cours Julien;marseille;lieu;Cours Julien;Le cours Julien se situe dans le quartier Notre-Dame du Mont (6e arrondissement). Il comprend deux parties : une vaste place piétonne qui va de la rue des Trois-Frères-Barthélémy à la rue Armand-Bédarride et une voie  ouverte à la circulation automobile de la rue Armand-Bédarride au boulevard Garibaldi.;http://upload.wikimedia.org/wikipedia/commons/thumb/3/32/Cours_Julien_%C3%A0_Marseille_%28France%29.jpg/280px-Cours_Julien_%C3%A0_Marseille_%28France%29.jpg;https://fr.wikipedia.org/wiki/Cours_Julien
92; Le Vallon des Auffes;marseille;lieu;Vallon des Auffes;Le vallon des Auffes (en occitan provençal Lo Valon deis Aufas) est un petit port de pêche pittoresque traditionnel sur la corniche Kennedy, du quartier d'Endoume, dans le 7e arrondissement de Marseille. Il se situe à 2 km au sud-ouest du Vieux-Port, entre la plage des Catalans et l'anse de Malmousque.;http://upload.wikimedia.org/wikipedia/commons/thumb/b/b6/MarseillesRade.jpg/260px-MarseillesRade.jpg;https://fr.wikipedia.org/wiki/Vallon_des_Auffes
93; La Corniche JF Kennedy;marseille;lieu;Corniche du Président-John-Fitzgerald-Kennedy;La corniche Kennedy ou corniche du Président-John-Fitzgerald-Kennedy est un boulevard de bord de mer de Marseille et une route touristique qui longe la mer Méditerranée sur environ 3,7 km, de la plage Les Catalans aux plages du Prado;https://upload.wikimedia.org/wikipedia/commons/thumb/c/cd/Corniche_Kennedy_Fausse_Monnaie.JPG/800px-Corniche_Kennedy_Fausse_Monnaie.JPG;https://fr.wikipedia.org/wiki/Corniche_du_Pr%C3%A9sident-John-Fitzgerald-Kennedy
94; Le Vélodrome;marseille;lieu;Stade Vélodrome;Le stade Vélodrome (appelé Orange Vélodrome par contrat de naming depuis 2016) est une enceinte sportive située à Marseille en France. Bâti dans le 8e arrondissement, c'est le principal équipement sportif de Marseille et le second stade de France en termes de capacité. Le Vélodrome est, depuis son inauguration en 1937, utilisé par le club de football de l'Olympique de Marseille.;http://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Stade_V%C3%A9lodrome_1.jpg/260px-Stade_V%C3%A9lodrome_1.jpg;https://fr.wikipedia.org/wiki/Stade_V%C3%A9lodrome
95; Le MuCEM;marseille;museum;Musée des Civilisations de l'Europe et de la Méditerranée;Le musée des Civilisations de l'Europe et de la Méditerranée (Mucem) est un musée national situé à Marseille. Il a ouvert le 7 juin 2013, lorsque Marseille était la Capitale européenne de la culture. Sa superficie totale est de 45 000 mètres carrés dont 4 900 m2 d'espace d'exposition et 7 000 m2 de réserves comprenant les quelque 350 000 références du musée.;http://upload.wikimedia.org/wikipedia/fr/thumb/7/79/Logo_Mucem.jpg/130px-Logo_Mucem.jpg;https://fr.wikipedia.org/wiki/Mus%C3%A9e_des_Civilisations_de_l%27Europe_et_de_la_M%C3%A9diterran%C3%A9e
96; Le Musée du Savon;marseille;museum;Savon de Marseille;Le savon de Marseille est un type de savon résultant de la saponification d'un mélange d'huiles, généralement végétales, par de la soude. Particulièrement efficace par son pouvoir nettoyant, ce produit utilisé pour l’hygiène du corps peut être fabriqué de façon industrielle ou artisanale.  ;http://upload.wikimedia.org/wikipedia/commons/thumb/6/6e/Savons_de_Marseille_002.JPG/220px-Savons_de_Marseille_002.JPG;https://fr.wikipedia.org/wiki/Savon_de_Marseille
97; Le Musée de l’histoire de Marseille;marseille;museum;Histoire de Marseille;L’histoire de Marseille retrace les 2 600 ans de la cité depuis sa fondation.;http://upload.wikimedia.org/wikipedia/commons/thumb/8/83/Pyth%C3%A9as.jpg/220px-Pyth%C3%A9as.jpg;https://fr.wikipedia.org/wiki/Histoire_de_Marseille
